ERCC8	0.000224161244348951
CD28	0.000487668696767
ORM2	0.000783290120238386
NDUFAF2	0.00108467965837199
UPRT	0.00112858341662994
KIAA0825	0.00164351988262346
NAP1L5	0.001707171817574
ZNF622	0.00185104008774094
SLURP1	0.0019400948063738
FAM217A	0.00213926098276565
SLC2A4RG	0.00252909654503218
NRAS	0.00275003513082737
AMH	0.00295255746327045
JSRP1	0.00295255746327045
LIME1	0.00297775378520892
BEX2	0.00371467255639786
CATIP	0.0038500391272474
UTY	0.00393142019531254
EXD2	0.00411544126298011
ZDBF2	0.00424974354600341
SCML2	0.0045508995988146
GYPC	0.00459906943344466
TSPYL5	0.00461146881579475
ACER3	0.00464977912587017
CADM1	0.00480394583780847
IGLC6	0.00498606295012683
IGLC7	0.00498606295012683
MUC3A	0.0051462551074433
ANKRD45	0.00546593094755863
PLA2G3	0.00579000496907577
NRBF2	0.00595832871422368
TXLNG	0.00607109706173021
TRPM7	0.00609084822718612
TUBB2A	0.00615650896515854
CHCHD2	0.00629380607978048
ZNF273	0.00643543377906767
DDX11L8	0.00701904663233099
DCUN1D1	0.007136447017883
RB1CC1	0.0072846064036082
IL37	0.00766868203540046
SUMO1	0.00780964258756362
PRRT4	0.00792544110134017
KLHL20	0.00806048873156767
NAE1	0.00822030154975592
RPUSD4	0.00822415745276694
A2M	0.00824397273737489
SLC38A9	0.00824951352135082
BRE-AS1	0.00833675837574805
DCUN1D5	0.00843397174204895
ZSCAN12	0.00885532348969371
RANBP17	0.0088635108767953
AIRN	0.00903049147807734
FUK	0.00917687992038351
PNPT1	0.00937885577365949
MROH5	0.00944810123901145
CRHR1	0.00949674062395677
ZFYVE26	0.00968596456223569
PCNX	0.00973186129825116
VPS35	0.00979106693449387
BEX5	0.00991884069755816
