"";"x"
"271";"KRTAP4-8"
"272";"KRTAP4-9"
"273";"LOC101929756"
"274";"LOC400620"
"275";"LOC105376696"
"276";"LOC101927646"
"277";"LINC00396"
"278";"GLRA3"
"279";"GALNT1"
"280";"LOC105372065"
"281";"C1orf110"
"282";"LOC105374184"
"283";"LOC105369589"
"284";"LOC105376293"
"285";"CCDC73"
"286";"SLC13A4"
"287";"LOC101927284"
"288";"LOC102724711"
"289";"LOC105377985"
"290";"MIR4662B"
"291";"MIR4662A"
"292";"LOC105374150"
"293";"AKNAD1"
"294";"TGM7"
"295";"C12orf56"
"296";"LOC100506551"
"297";"KCNMA1"
"298";"LOC102724934"
"299";"DSCAM"
"300";"MIPOL1"
"301";"ALDH8A1"
"302";"LOC105372131"
"303";"TNC"
"304";"LOC105378891"
"305";"LOC105373261"
"306";"LOC101927692"
"307";"LOC105378154"
"308";"LOC101928472"
"309";"LOC105369693"
"310";"LOC105377148"
"311";"LOC100506444"
"312";"LOC105369293"
"313";"LOC105369303"
"314";"KRTAP4-7"
"315";"LOC105379054"
"316";"LOC105373900"
"317";"MIR548H3"
"318";"SOX6"
"319";"LOC105377377"
"320";"LOC105379006"
"321";"LOC105374721"
"322";"LOC101928849"
"323";"LOC105376868"
"324";"LOC105374600"
"325";"LOC105374601"
"326";"LOC105377042"
"327";"LOC105378253"
"328";"LOC105376370"
"329";"LOC100996345"
"330";"LOC105371272"
"331";"LOC101927525"
"332";"MIR6083"
"333";"LOC401287"
"334";"LINC01488"
"335";"LOC105378832"
"336";"ZIC4"
"337";"LOC105371692"
"338";"TRX-CAT1-6"
"339";"TRK-TTT6-1"
"340";"MGLL"
"341";"LOC105370269"
"342";"LOC646736"
"343";"MOBP"
"344";"LOC105374810"
"345";"LOC105369961"
"346";"LOC105374291"
"347";"LOC105374569"
"348";"EBLN2"
"349";"KCTD4"
"350";"LOC105377304"
"351";"MIR6814"
"352";"LOC101929722"
"353";"LOC102725208"
"354";"RNA5SP236"
"355";"LOC105374028"
"356";"LOC105369463"
"357";"S100G"
"358";"LOC101929232"
"359";"LINC01392"
"360";"CUZD1"
"361";"LOC101927871"
"362";"LOC105378836"
"363";"LOC105377545"
"364";"LOC101928509"
"365";"LOC105374290"
"366";"SLC39A12"
"367";"USP17L17"
"368";"USP17L18"
"369";"USP17L19"
"370";"USP17L20"
"371";"LOC105378870"
"372";"LOC729987"
"373";"LOC105378863"
"374";"RNU6-53P"
"375";"LINC01214"
"376";"PDE1A"
"377";"LINC01376"
"378";"LOC105376134"
"379";"LOC105373178"
"380";"LOC105374410"
"381";"LOC105377059"
"382";"CALCRL"
"383";"KRT39"
"384";"LOC105377574"
"385";"PI15"
"386";"LOC101929352"
"387";"LOC105371023"
"388";"SEC16B"
"389";"LOC340512"
"390";"LOC105378128"
"391";"B3GALT5"
"392";"LOC105372805"
"393";"LOC105378781"
"394";"LOC105373813"
"395";"LOC102723525"
"396";"LOC105374467"
"397";"LOC100129940"
"398";"RNA5SP48"
"399";"LOC101928286"
"400";"PLP1"
"401";"LOC642643"
"402";"LOC101927854"
"403";"LOC105372518"
"404";"LINC00381"
"405";"LOC105372611"
"406";"LOC102723549"
"407";"LOC105375379"
"408";"LOC103191607"
"409";"LOC105370207"
"410";"IL7R"
"411";"RNA5SP181"
"412";"LOC105374977"
"413";"NEBL"
"414";"NEBL-AS1"
"415";"OR51B5"
"416";"LOC105370177"
"417";"LINC00840"
"418";"LOC84214"
"419";"RETN"
"420";"PHEX"
"421";"LOC105377394"
"422";"LOC105374170"
"423";"LOC105375713"
"424";"MIR4711"
"425";"PART1"
"426";"LOC101927057"
"427";"LOC105377940"
"428";"LOC101929507"
"429";"LINC00583"
"430";"LOC102725220"
"431";"LOC101927580"
"432";"LOC105377005"
"433";"LOC105376406"
"434";"LOC105378963"
"435";"RPTN"
"436";"SNORA80A"
"437";"LOC101926940"
"438";"ZBED9"
"439";"TRS-GCT4-3"
"440";"RAI2"
"441";"SORCS3"
"442";"LOC105369385"
"443";"C6orf10"
"444";"TRI-AAT8-1"
"445";"TRR-ACG2-4"
"446";"TRS-CGA3-1"
"447";"MIR3619"
"448";"LOC101928879"
"449";"LNX1-AS2"
"450";"MIR548M"
"451";"GDPD4"
"452";"CNTN6"
"453";"LOC105376924"
"454";"LOC105376923"
"455";"LOC105374541"
"456";"LOC105375753"
"457";"PTPRZ1"
"458";"LOC105378378"
"459";"TRH-GTG1-4"
"460";"LOC105373682"
"461";"PSG2"
"462";"LOC105377196"
"463";"LOC285768"
"464";"LOC105371875"
"465";"LOC105371874"
"466";"BMP5"
"467";"LINC00619"
"468";"TBC1D8B"
"469";"MIR3129"
"470";"LOC105371777"
"471";"MIR8082"
"472";"FAM83B"
"473";"LOC101929535"
"474";"LOC105375052"
"475";"PPP1R1C"
"476";"LOC728805"
"477";"SLC35F4"
"478";"CCDC26"
"479";"RNA5SP227"
"480";"LOC105371711"
"481";"LOC105372244"
"482";"LOC101927865"
"483";"LOC105378705"
"484";"AGXT2"
"485";"PCLO"
"486";"TMEM14E"
"487";"RNA5SP303"
"488";"RBMS3-AS3"
"489";"LOC105378931"
"490";"ZFHX4-AS1"
"491";"LOC105376369"
"492";"LOC105371674"
"493";"SUMO2P6"
"494";"LOC102724080"
"495";"OR52H1"
"496";"LOC101928241"
"497";"LOC105378865"
"498";"LOC105372916"
"499";"MIR566"
"500";"TRA-TGC5-1"
"501";"TRF-GAA4-1"
"502";"LOC105369512"
"503";"RSPO3"
"504";"HBE1"
"505";"LCRB"
"506";"DSCR8"
"507";"LOC105371625"
"508";"YAP1"
"509";"PSG5"
"510";"FLJ41278"
"511";"MIR4472-2"
"512";"LOC105377468"
"513";"LOC105377853"
"514";"IL13RA2"
"515";"TRG-GCC2-3"
"516";"LOC105371132"
"517";"LOC105370317"
"518";"EVA1A"
"519";"RNF128"
"520";"PABPC5-AS1"
"521";"PABPC5"
"522";"MIR4296"
"523";"LOC105370812"
"524";"LOC105369686"
"525";"LOC105369687"
"526";"LOC105371886"
"527";"LOC102724482"
"528";"LOC105378974"
"529";"LOC105373380"
"530";"LOC101927493"
"531";"LOC105373737"
"532";"LOC105370956"
"533";"TRF-GAA3-1"
"534";"TRA-AGC6-1"
"535";"LOC105369541"
"536";"ASIC5"
"537";"LOC100507537"
"538";"PCDH18"
"539";"TM4SF1-AS1"
"540";"KCNK2"
"541";"LOC105373502"
"542";"LOC102724214"
"543";"LOC101927356"
"544";"LOC105377569"
"545";"KCNMB2-AS1"
"546";"KCNMB2"
"547";"LOC105373766"
"548";"TRQ-TTG2-1"
"549";"LINC00906"
"550";"LOC102724958"
"551";"PRLR"
"552";"LOC105379197"
"553";"LOC100506675"
"554";"LOC105376613"
"555";"LPPR5"
"556";"LOC105375164"
"557";"GRIA1"
"558";"KRT34"
"559";"MIR214"
"560";"MIR3120"
"561";"MIR199A2"
"562";"SEMA3E"
"563";"LOC105375378"
"564";"CACNA2D1"
"565";"HTR1D"
"566";"LOC101929325"
"567";"HYPM"
"568";"LOC105376407"
"569";"MIR4748"
"570";"LOC105372463"
"571";"LOC105376374"
"572";"LOC105379130"
"573";"LOC105369867"
"574";"C5orf66-AS2"
"575";"LOC105372701"
"576";"LOC105372568"
"577";"LOC101927916"
"578";"LRRN4"
"579";"LOC649133"
"580";"LOC105369531"
"581";"CACNA1C-AS4"
"582";"MYO3B"
"583";"LINC01269"
"584";"LOC105369882"
"585";"GADD45AP1"
"586";"LOC105373464"
"587";"LOC105377014"
"588";"LOC101928015"
"589";"LOC105379516"
"590";"CTB-78F1.2"
"591";"LOC102725045"
"592";"LOC101927062"
"593";"C9orf135"
"594";"LOC105372762"
"595";"LOC105378526"
"596";"GRIK2"
"597";"LOC105370756"
"598";"LOC105375362"
"599";"RNA5SP224"
"600";"LOC105374716"
"601";"LINC00363"
"602";"VTCN1"
"603";"LINC01355"
"604";"MIR6860"
"605";"LOC105371318"
"606";"LINC01423"
"607";"LOC105372448"
"608";"LOC101928272"
"609";"LGR5"
"610";"LOC105369833"
"611";"LOC105375850"
"612";"LOC105377556"
"613";"LOC105376214"
"614";"NRG1"
"615";"KIAA0408"
"616";"CHODL-AS1"
"617";"LOC101927969"
"618";"TRA-AGC3-1"
"619";"LINC01370"
"620";"PDGFC"
"621";"LOC102723967"
"622";"LOC105369844"
"623";"MIR548G"
"624";"LOC105377989"
"625";"CYYR1"
"626";"TM4SF1"
"627";"CADPS2"
"628";"LINC01331"
"629";"LOC101928765"
"630";"LOC105378045"
"631";"LOC105372763"
"632";"LOC101927521"
"633";"SOHLH2"
"634";"IDO1"
"635";"LOC105376241"
"636";"LOC105374056"
"637";"LOC105374171"
"638";"TBX18"
"639";"LOC105376152"
"640";"LOC105370777"
"641";"LOC105372956"
"642";"SERPINA5"
"643";"LOC101929307"
"644";"LOC101929284"
"645";"HNMT"
"646";"LINC01081"
"647";"MIR4799"
"648";"LOC105372915"
"649";"LOC105369919"
"650";"LOC105369918"
"651";"LOC105373128"
"652";"LOC105377858"
"653";"RNA5SP364"
"654";"LOC105369883"
"655";"LOC105372519"
"656";"NME8"
"657";"SLC38A4"
"658";"TRHR"
"659";"PTPRQ"
"660";"LOC105376967"
"661";"LOC105376966"
"662";"LOC105369806"
"663";"LOC105372541"
"664";"FMN2"
"665";"LOC105369617"
"666";"LOC105375980"
"667";"KRTAP4-2"
"668";"KRTAP4-1"
"669";"GSTM1"
"670";"MIR4636"
"671";"LYG1"
"672";"LOC105377681"
"673";"LOC105377290"
"674";"IRX6"
"675";"LOC105376375"
