"";"genes";"logFC.RNA";"AveExpr.RNA";"t.RNA";"P.Value.RNA";"adj.P.Val.RNA";"B.RNA";"logFC.ATAC";"AveExpr.ATAC";"t.ATAC";"P.Value.ATAC";"adj.P.Val.ATAC";"B.ATAC"
"28";"ABCA6";-0,928740342926035;1,25103603990088;-0,969986010211189;0,342912562920499;0,999809857860324;-4,598095780173;-0,254029845914983;2,50221181714756;-0,958386348287662;0,349935193413712;0,507566253889608;-5,27188451518339
"29";"ABCA7";0,14478613904318;6,94942333385283;0,580668925455929;0,567541695334376;0,999809857860324;-4,72083657451054;0,405434476571988;5,38395170029842;4,37271612766341;0,000329135459633603;0,00643080051899502;0,0518394482917222
"30";"ABCA8";-2,42335677808753;0,533700963507974;-1,65894005653954;0,111744802038378;0,999809857860324;-4,55537398910263;-1,57737264230713;0,87460679692118;-1,8675011327484;0,0773757551551675;0,198483490205149;-4,04759542540995
"31";"ABCA9";-1,1454083150256;2,0257473357466;-1,02275472088593;0,317871204810372;0,999809857860324;-4,59587882497527;-0,688422272557358;1,98430573558165;-2,17425758399263;0,042560598606424;0,139675650926495;-3,69792449118788
"32";"ABCB1";0,230163657307164;5,63119624909037;0,738979508884169;0,467964962285995;0,999809857860324;-4,69187102228781;0,365886780374397;5,00750644476887;2,93851698741632;0,00844830633364337;0,0503469771233864;-3,02507089819631
"33";"ABCB10";0,215023537002848;5,26348837874315;1,42599696395368;0,168325098097614;0,999809857860324;-4,47934204237927;-0,211366217172836;5,73747301815205;-2,92318834892586;0,00873819886651213;0,0513781078553352;-3,16227107356176
"34";"ABCB6";0,201846420800781;4,44898616702889;0,743663786448791;0,465184242723297;0,999809857860324;-4,67095242627866;0,245354832068786;5,79301716980181;3,69800960973377;0,00153190299789477;0,0168844695553734;-1,49190860038826
"35";"ABCB7";0,0197361208977584;4,16864464273152;0,148291332832695;0,883504229145974;0,999809857860324;-4,72955634663573;-0,333739727236645;3,67798207986708;-2,11144050999389;0,0482430322464098;0,150227971190112;-4,24064794304669
"36";"ABCB8";0,0491028160586175;5,86219445576972;0,62291191385275;0,539938466762881;0,999809857860324;-4,71718198391519;0,268960277749023;6,35938653558028;3,68000172252533;0,00159601466963198;0,0172406274312659;-1,53740883295636
"37";"ABCB9";-0,235317955407909;1,92764341947216;-1,02688767104937;0,315965469776239;0,999809857860324;-4,59525500358484;0,147247556558931;5,75266230318864;1,94656906141136;0,0665634443169736;0,181913591075768;-5,03112108960779
"38";"ABCC1";-0,189958724169553;6,90004609557102;-1,05334887284017;0,303954581395402;0,999809857860324;-4,60740779360391;-0,3226669646361;3,33190410894586;-1,90243818022804;0,0724203669284004;0,191092168945187;-4,48576845229584
"39";"ABCC10";-0,0459894970182448;5,44514137188573;-0,32744605548804;0,746518936585376;0,999809857860324;-4,75605125055675;-0,0953911790481659;5,86361448399309;-1,0404849139829;0,311206845691652;0,469800651817268;-6,28354955257529
"40";"ABCC2";-0,168330598530814;1,53327699045266;-0,532228650123377;0,600062103919458;0,999809857860324;-4,63027710964631;-0,808558547974985;2,07647975149727;-2,44970201667269;0,0241904967327737;0,0989772364040015;-3,28046112542744
"41";"ABCC3";-0,608334180112674;1,82090570355486;-0,602573514692634;0,553138191941933;0,999809857860324;-4,62629075660391;-0,569940077940556;2,33979227598649;-1,54540194310766;0,138783603435948;0,281582103862486;-4,68669102033921
"42";"ABCC4";-0,113816162275446;3,72097592519044;-0,463161166536433;0,647934446394062;0,999809857860324;-4,68730991075906;-0,497164673990075;3,39835445654126;-3,49892545678458;0,00240833384854778;0,0223283671574996;-1,4627504103053
"43";"ABCC5";-0,00595204147608097;5,14628271949921;-0,0322307997770289;0,974587350382485;0,999809857860324;-4,76746988783378;-0,164574542003275;6,43303507229585;-1,68676047763973;0,108040366911207;0,241695636332187;-5,45103542713152
"44";"ABCC9";-0,873376124877604;-1,63525293074697;-0,624390285928842;0,538985617080764;0,999809857860324;-4,60151418525484;-0,844429933840743;0,392531981192617;-1,37249896784494;0,185933552471029;0,337600936577126;-4,5535935998246
"45";"ABCD1";-0,194123286447007;4,39879838452086;-0,601151044003023;0,554067691007999;0,999809857860324;-4,69227106719806;0,232867367187844;4,42046731843018;2,59369814764158;0,017846352118792;0,0813274887555235;-3,57867530484413
"46";"ABCD2";0,0696924663379843;-0,540948212989785;0,132776820835037;0,895613106059993;0,999809857860324;-4,61550277436421;-0,619506332777618;5,1628323521616;-3,03124739700492;0,0068829323689501;0,0443371420038314;-2,87001402368741
"47";"ABCD3";-0,14769599709911;4,77839513125755;-0,95063454661775;0,352426096388803;0,999809857860324;-4,62970299047801;0,211697989987397;6,84366205220315;3,40953978127851;0,0029484812395713;0,0257207549716811;-2,11549129438237
