"";"x"
"270";"LOC105370498"
"271";"LOC105369650"
"272";"LOC101928409"
"273";"LOC101928087"
"274";"ADAMTS8"
"275";"DDO"
"276";"HUS1B"
"277";"LOC100288893"
"278";"LOC100131257"
"279";"LOC105375138"
"280";"LOC105372358"
"281";"LOC105375402"
"282";"GNG11"
"283";"IL34"
"284";"SLC12A1"
"285";"MIR5692A2"
"286";"LOC101928605"
"287";"ARHGEF34P"
"288";"ZP1"
"289";"TNNT1"
"290";"LINC01498"
"291";"PNMAL2"
"292";"UQCRHP2"
"293";"LOC613266"
"294";"LINC00619"
"295";"EPHB1"
"296";"LOC101929713"
"297";"GLRA3"
"298";"LOC102724933"
"299";"LOC105376996"
"300";"GIPC2"
"301";"PADI4"
"302";"LOC105371674"
"303";"LOC105373791"
"304";"MIR1245A"
"305";"MIR1245B"
"306";"MIR3691"
"307";"ZFP2"
"308";"LRP5L"
"309";"ABCC2"
"310";"LOC105372131"
"311";"ZC2HC1A"
"312";"LOC100128362"
"313";"MIR676"
"314";"AWAT2"
"315";"LOC105377988"
"316";"LOC101929272"
"317";"AKAP12"
"318";"LOC105370782"
"319";"LOC105371688"
"320";"LOC102724350"
"321";"MIR140"
"322";"LOC105377000"
"323";"LINC00692"
"324";"LOC105370996"
"325";"LOC105371692"
"326";"LOC105374417"
"327";"NDP"
"328";"PAK3"
"329";"MIR3658"
"330";"DNM3OS"
"331";"PCLO"
"332";"LOC105370641"
"333";"LOC100507420"
"334";"LOC105374666"
"335";"LOC105377316"
"336";"TLR1"
"337";"LOC101930164"
"338";"DNHD1"
"339";"LOC102724333"
"340";"LOC105369486"
"341";"RNA5SP323"
"342";"OR2B11"
"343";"LOC105375642"
"344";"CCDC169-SOHLH2"
"345";"LOC102724208"
"346";"OPTC"
"347";"LOC101929756"
"348";"LOC101927973"
"349";"LOC105378891"
"350";"LOC105373956"
"351";"LINC00633"
"352";"LOC100287728"
"353";"LOC105378029"
"354";"COL12A1"
"355";"BTBD16"
"356";"CCDC141"
"357";"LOC105372900"
"358";"DNAJC5G"
"359";"COL5A1"
"360";"IL13RA2"
"361";"LOC101928250"
"362";"LOC105374520"
"363";"LINC01392"
"364";"TRQ-TTG2-1"
"365";"FPR3"
"366";"LOC102725208"
"367";"SPARC"
"368";"PDZD2"
"369";"ABCB11"
"370";"LRP1B"
"371";"NPIPB5"
"372";"LOC105371131"
"373";"TLN2"
"374";"AKNAD1"
"375";"LOC101927580"
"376";"TGM7"
"377";"TMEM244"
"378";"LOC105377999"
"379";"TRBV6-5"
"380";"LOC105373723"
"381";"LOC105377374"
"382";"PDCD1LG2"
"383";"LOC105370297"
"384";"OSBPL10"
"385";"MIR6814"
"386";"LOC105374184"
"387";"LOC101927871"
"388";"LOC105378836"
"389";"ARHGAP8"
"390";"TNC"
"391";"CST3"
"392";"DNAH9"
"393";"LOC105374467"
"394";"CLIP1-AS1"
"395";"LOC105374073"
"396";"LOC105379030"
"397";"LINC00160"
"398";"LINC01426"
"399";"LOC105378031"
"400";"GDPD4"
"401";"SLC22A1"
"402";"ANXA8L1"
"403";"LINC00842"
"404";"ALDH8A1"
"405";"LOC102724934"
"406";"CHRNA3"
"407";"LOC105378536"
"408";"LOC105377669"
"409";"LINC00923"
"410";"TRC-GCA8-1"
"411";"LOC339862"
"412";"LINC00326"
"413";"LOC105377945"
"414";"LOC105369463"
"415";"LOC105376808"
"416";"BCYRN1"
"417";"LOC105376696"
"418";"GPR17"
"419";"ZBED9"
"420";"TRS-GCT4-3"
"421";"TRBV7-4"
"422";"TRBV5-4"
"423";"LIMS2"
"424";"LOC105375983"
"425";"LOC105374528"
"426";"FCGR2B"
"427";"LOC105372538"
"428";"GTSF1L"
"429";"LOC100131496"
"430";"LOC101929615"
"431";"LOC105371023"
"432";"LINC01488"
"433";"OR5AU1"
"434";"CCDC73"
"435";"LOC101929988"
"436";"LOC105371331"
"437";"LOC102724711"
"438";"LOC105374210"
"439";"CLDN11"
"440";"MIR6828"
"441";"RNA5SP236"
"442";"LOC101928708"
"443";"PDZRN4"
"444";"PI15"
"445";"LOC101927854"
"446";"LOC101927043"
"447";"GLYATL2"
"448";"LOC105377042"
"449";"ADCY2"
"450";"LOC105374716"
"451";"CTD-2201I18.1"
"452";"KRTAP4-8"
"453";"KRTAP4-9"
"454";"TRA-AGC1-1"
"455";"LOC105372916"
"456";"LOC105379290"
"457";"LOC105375879"
"458";"LOC105375878"
"459";"KANK4"
"460";"FAM138E"
"461";"MIR1302-10"
"462";"LOC728805"
"463";"EBLN2"
"464";"C9orf135"
"465";"GLRB"
"466";"TRA-TGC1-1"
"467";"TRF-GAA1-5"
"468";"LOC101927356"
"469";"HLX-AS1"
"470";"LOC105373280"
"471";"HLX"
"472";"LOC105375403"
"473";"IL7R"
"474";"IL7"
"475";"LOC105375856"
"476";"LOC105376292"
"477";"LOC101927284"
"478";"BHMT"
"479";"LOC105378253"
"480";"C20orf141"
"481";"TMEM239"
"482";"RNA5SP194"
"483";"LOC105373900"
"484";"LOC105369693"
"485";"MOBP"
"486";"PISRT1"
"487";"LINC00922"
"488";"LOC102724539"
"489";"MRVI1"
"490";"RNA5SP309"
"491";"LOC105369407"
"492";"LOC105370815"
"493";"MLPH"
"494";"TIMP3"
"495";"LOC105373717"
"496";"KCNMA1"
"497";"PLCB4"
"498";"SEC16B"
"499";"TRR-CCT5-1"
"500";"CCL22"
"501";"LOC105373230"
"502";"TRV-CAC6-1"
"503";"TRS-CGA2-1"
"504";"TRR-ACG2-2"
"505";"TRR-ACG2-3"
"506";"TRA-TGC7-1"
"507";"TNFAIP8L3"
"508";"GPX5"
"509";"TRI-TAT3-1"
"510";"TRR-TCG5-1"
"511";"C1orf110"
"512";"LOC105373653"
"513";"ANK3"
"514";"PSG5"
"515";"RNU6-10P"
"516";"LOC101928270"
"517";"LOC105369512"
"518";"HBE1"
"519";"LCRB"
"520";"LOC105375455"
"521";"LOC105375209"
"522";"LOC84214"
"523";"LOC102467655"
"524";"MIR3122"
"525";"RNU6-42P"
"526";"HMGN2P28"
"527";"LOC105369293"
"528";"LOC105369303"
"529";"LOC100505609"
"530";"SLIT2"
"531";"RIPPLY1"
"532";"CLDN2"
"533";"LOC105375848"
"534";"PENK"
"535";"LOC105378832"
"536";"MEG3"
"537";"PLA2G4A"
"538";"LOC105373261"
"539";"HMGA2"
"540";"LINC01376"
"541";"SOX6"
"542";"TRY-ATA1-1"
"543";"THSD7B"
"544";"EDN1"
"545";"LOC101927198"
"546";"PRKG1-AS1"
"547";"DKK1"
"548";"LOC105372442"
"549";"KLK7"
"550";"LOC105377632"
"551";"TBC1D8B"
"552";"LOC105377394"
"553";"LOC105375407"
"554";"LOC105377717"
"555";"LOC105377059"
"556";"LOC105371711"
"557";"LOC400043"
"558";"TRI-AAT8-1"
"559";"TRR-ACG2-4"
"560";"TRS-CGA3-1"
"561";"LOC400620"
"562";"LOC105373886"
"563";"TMEM8C"
"564";"LOC105372701"
"565";"LOC105375703"
"566";"PLEK2"
"567";"TRP-CGG2-1"
"568";"TRS-GCT1-1"
"569";"FLJ40288"
"570";"COL28A1"
"571";"LOC105379054"
"572";"LINC00607"
"573";"LOC105369906"
"574";"LOC101928096"
"575";"GOLGA8G"
"576";"IQCJ-SCHIP1-AS1"
"577";"MGLL"
