"";"genes";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"LOC102724784";"LOC102724784";-0,3529174;2,294832;-1,015242;0,3227768;0,4811946;-5,231653
"AMER1";"AMER1";0,08325301;6,348801;1,015171;0,3228094;0,4811946;-6,312768
"LOC105373237";"LOC105373237";0,08325301;6,348801;1,015171;0,3228094;0,4811946;-6,312768
"LOC105375762";"LOC105375762";-0,5022978;0,8042796;-1,015169;0,3228103;0,4811946;-4,893465
"LOC100506175";"LOC100506175";-0,434888;1,443102;-1,015053;0,3228643;0,4812274;-4,99045
"CCDC124";"CCDC124";0,07315906;5,417436;1,01503;0,3228751;0,4812274;-6,27477
"GP5";"GP5";0,2187067;3,780305;1,015012;0,3228836;0,4812274;-5,793508
"LOC105369542";"LOC105369542";0,1198694;4,495321;1,014877;0,3229459;0,4812695;-6,074294
"LOC100128242";"LOC100128242";0,1198694;4,495321;1,014877;0,3229459;0,4812695;-6,074294
"UNC45B";"UNC45B";-0,1171755;4,330169;-1,01467;0,3230423;0,4813774;-6,001365
"LOC105374219";"LOC105374219";0,1713823;4,353235;1,01464;0,3230564;0,4813774;-5,988259
"PPP1R3G";"PPP1R3G";-0,5345903;1,396983;-1,014611;0,3230695;0,4813774;-4,993362
"LOC102724153";"LOC102724153";-0,1270968;4,039775;-1,014558;0,3230945;0,4813891;-5,893929
"LOC105371867";"LOC105371867";-0,6434333;0,9171502;-1,014386;0,323174;0,4814822;-4,897157
"PSMB4";"PSMB4";-0,11304;5,761762;-1,014309;0,32321;0,4815102;-6,302583
"TUB-AS1";"TUB-AS1";-0,7437114;1,528893;-1,014206;0,3232579;0,4815562;-4,99305
"GAL";"GAL";-0,5311567;1,613569;-1,013943;0,32338;0,4817121;-5,044855
"LOC105372767";"LOC105372767";-0,4018568;2,4564;-1,013907;0,3233967;0,4817121;-5,256811
"C11orf57";"C11orf57";-0,08885185;4,945141;-1,01383;0,3234327;0,4817403;-6,181825
"C7orf13";"C7orf13";-0,2294464;4,02119;-1,013373;0,3236453;0,482006;-5,907084
"RNF32";"RNF32";-0,2294464;4,02119;-1,013373;0,3236453;0,482006;-5,907084
"LINC00434";"LINC00434";-0,2341641;2,606363;-1,013252;0,3237016;0,4820644;-5,253832
"NUMBL";"NUMBL";-0,07744538;5,255183;-1,013168;0,3237404;0,4820968;-6,251949
"LOC105378203";"LOC105378203";-0,1490115;4,254599;-1,012851;0,3238879;0,4822814;-5,960475
"C17orf70";"C17orf70";0,09288638;4,457303;1,012814;0,3239051;0,4822814;-6,042364
"HRASLS5";"HRASLS5";-0,1964667;2,628804;-1,012791;0,3239158;0,4822814;-5,364329
"UST";"UST";-0,1219689;3,193736;-1,012652;0,3239806;0,4823526;-5,552059
"TMEM184C";"TMEM184C";0,08913775;6,525911;1,012455;0,3240723;0,4824429;-6,310724
"ANKLE1";"ANKLE1";-0,07706853;5,201619;-1,01243;0,3240841;0,4824429;-6,24894
"LOC105376208";"LOC105376208";-0,6515036;0,05706503;-1,012411;0,3240927;0,4824429;-4,726905
"LOC105373719";"LOC105373719";0,1212441;5,410586;1,012083;0,3242454;0,4826448;-6,272935
"DMRTB1";"DMRTB1";-0,504956;1,142918;-1,012012;0,3242789;0,4826691;-5,029463
"LOC105376834";"LOC105376834";-0,6909659;2,20297;-1,011886;0,3243373;0,4827185;-5,241452
"ALLC";"ALLC";-0,1148168;4,912346;-1,011867;0,3243463;0,4827185;-6,191359
"AOX1";"AOX1";-0,2550028;2,182795;-1,011726;0,3244118;0,4827661;-5,169593
"LOC105377759";"LOC105377759";-0,4417138;1,974554;-1,011725;0,3244125;0,4827661;-5,181295
"LOC105371329";"LOC105371329";0,2111741;4,03478;1,011684;0,3244313;0,4827686;-5,870705
"TRIM71";"TRIM71";-0,6013095;0,7008795;-1,01164;0,3244521;0,482774;-4,87076
"PRRC1";"PRRC1";-0,08839407;5,408245;-1,011598;0,3244715;0,4827774;-6,274556
"UCHL1";"UCHL1";0,2881418;2,879636;1,01143;0,3245496;0,4828384;-5,446913
"MAPKAPK5-AS1";"MAPKAPK5-AS1";0,09726456;6,52957;1,0114;0,3245638;0,4828384;-6,31064
"MAPKAPK5";"MAPKAPK5";0,09726456;6,52957;1,0114;0,3245638;0,4828384;-6,31064
"CC2D1A";"CC2D1A";0,0971116;5,565856;1,011283;0,3246181;0,4828716;-6,297202
"FAM9A";"FAM9A";-0,2626974;2,610645;-1,011279;0,3246204;0,4828716;-5,286958
"SLC7A14";"SLC7A14";-0,5191457;0,8108048;-1,0112;0,3246572;0,482892;-4,889741
"TPP1";"TPP1";-0,07545341;5,801884;-1,011176;0,3246684;0,482892;-6,308811
"TXNDC2";"TXNDC2";-0,4245409;1,423794;-1,01107;0,3247179;0,4829401;-5,050386
"IRF2BP1";"IRF2BP1";0,1117433;4,500892;1,01069;0,3248947;0,4831776;-6,064995
"LOC101927419";"LOC101927419";-0,2844514;2,10252;-1,010559;0,3249559;0,4832431;-5,145894
"SPATS2";"SPATS2";-0,08822983;4,304736;-1,010495;0,3249859;0,4832623;-5,992182
"SLCO2B1";"SLCO2B1";-0,1930624;3,466069;-1,010322;0,3250666;0,4833567;-5,688286
"ADAMTSL4-AS1";"ADAMTSL4-AS1";-0,09221806;5,665036;-1,010211;0,3251183;0,4834081;-6,304872
"LOC105371357";"LOC105371357";-0,9129758;0,1705601;-1,009941;0,3252444;0,4835702;-4,786522
"GABRE";"GABRE";-0,6766687;1,022152;-1,009902;0,3252624;0,4835714;-4,915353
"MIEN1";"MIEN1";0,08289691;5,392635;1,009679;0,3253668;0,4836791;-6,276649
"TMCC2";"TMCC2";-0,1111938;4,322105;-1,009607;0,3254005;0,4836791;-6,01761
"TRM-CAT2-1";"TRM-CAT2-1";-0,4008996;1,8732;-1,0096;0,3254034;0,4836791;-5,127298
"LOC102723796";"LOC102723796";-0,4008996;1,8732;-1,0096;0,3254034;0,4836791;-5,127298
