"";"genes";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"SLC35E4";"SLC35E4";0,93190554490482;3,3748249826626;1,11351654038863;0,277865547094745;0,541004704159338;-4,92605362761932
"TMED5";"TMED5";0,195704810047689;5,1401750627204;1,1131837454017;0,278005228466407;0,541082662882622;-5,47121542906112
"HIP1R";"HIP1R";-0,303698032236975;5,40828745753559;-1,11279430461793;0,278168750348943;0,541082662882622;-5,49071188349748
"DHX36";"DHX36";0,168154629807648;5,83887862109667;1,11275400394104;0,278185676162078;0,541082662882622;-5,53597066083419
"MRPL51";"MRPL51";0,204130644284545;8,47607207469346;1,11252841559487;0,278280434498848;0,541082662882622;-5,50482480181639
"KRT8";"KRT8";0,715053473778122;2,08709809241792;1,11252547645143;0,278281669240732;0,541082662882622;-4,69719426886706
"MRC2";"MRC2";0,92426683725249;5,4230337943516;1,11243310882985;0,278320475156876;0,541082662882622;-5,54513580932962
"FOXD2-AS1";"FOXD2-AS1";-0,357738454947875;3,47224850133491;-1,11133156089008;0,278783566757629;0,541601272781956;-4,856534014728
"SLC25A12";"SLC25A12";0,119591347308012;4,50666371956849;1,11118863160051;0,27884369548079;0,541601272781956;-5,38977761475733
"SIDT2";"SIDT2";0,203753722309161;5,14041497706977;1,11105261340403;0,278900925562622;0,541601272781956;-5,49746036342745
"REV1";"REV1";-0,185312905928511;5,09899560636209;-1,11103544435777;0,278908150100979;0,541601272781956;-5,46419460967968
"EIF3A";"EIF3A";0,0928657800214214;8,0644311612989;1,11097566113871;0,278933307260228;0,541601272781956;-5,52810093610472
"BBS1";"BBS1";0,215103271400199;3,84667745963059;1,11013707728948;0,279286362975429;0,542152267497578;-5,12969900545569
"FOXK2";"FOXK2";-0,0957894701638793;5,50299988924332;-1,10965001272177;0,279491573478813;0,5422671485691;-5,50990461288275
"OMA1";"OMA1";-0,262934263115977;4,35223377242406;-1,10952266924911;0,279545244057302;0,5422671485691;-5,22478181409913
"GRB14";"GRB14";0,788659466904953;2,90836357548947;1,10918092306507;0,279689314575587;0,5422671485691;-4,79484730165391
"BST1";"BST1";0,957835243066433;2,9823651057985;1,10877417455303;0,279860858703397;0,5422671485691;-4,81609285051608
"PAMR1";"PAMR1";0,964068214343869;2,89095481037744;1,108674304021;0,279902990307198;0,5422671485691;-4,92683256247006
"EFS";"EFS";1,00266522948463;3,18665264662763;1,10855128787338;0,279954892518897;0,5422671485691;-4,91804657801365
"SMARCE1";"SMARCE1";-0,0812560242053451;7,66328810490604;-1,1082145799155;0,28009699009226;0,5422671485691;-5,55265450903196
"ACSS2";"ACSS2";0,517391142479973;3,48710011043089;1,10813320274024;0,280131340784204;0,5422671485691;-5,03645877498678
"ZNHIT6";"ZNHIT6";0,133737981097338;4,0540559271172;1,10796442514054;0,280202594459576;0,5422671485691;-5,1581013837651
