"";"genes";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"ESF1";"ESF1";0,336901263508917;4,38914343333294;2,66129086395624;0,0144828731951378;0,998602651674656;-4,02646877453867
"TARS1";"TARS1";0,25301467462219;7,83634026616618;2,65004285240916;0,0148482006856061;0,998602651674656;-3,81204055820629
"ASRGL1";"ASRGL1";-0,495190856935388;3,77032909977663;-2,64339107934436;0,0150683178651968;0,998602651674656;-4,28734469232193
"SPRY1";"SPRY1";-0,756456799990939;3,2902510143844;-2,62879798197556;0,0155620489730628;0,998602651674656;-4,42867197261174
"MPHOSPH10";"MPHOSPH10";0,25371246044653;5,77118572922131;2,62783076531675;0,0155953058241329;0,998602651674656;-3,83277273243727
"VMP1";"VMP1";0,228648495512378;6,70587334651477;2,62022610003587;0,0158591268057802;0,998602651674656;-3,79344973192297
"FCGR3A";"FCGR3A";-0,453882282813;9,14258598717933;-2,6056642353605;0,0163760715313858;0,998602651674656;-3,91662464382474
"RGCC";"RGCC";-0,562988205065284;5,9079518163089;-2,59688343353312;0,0166954055306324;0,998602651674656;-3,84260665325432
"KIR2DL4";"KIR2DL4";-0,624008022894061;7,14862858723645;-2,59300072186359;0,0168384675361851;0,998602651674656;-3,82168625523788
"TMEM69";"TMEM69";0,334396981853274;5,14690190126713;2,5662637924802;0,0178553229440586;0,998602651674656;-3,92838834237526
"SH2D2A";"SH2D2A";-0,542757829307863;8,88227466387069;-2,5607366870656;0,0180725922603696;0,998602651674656;-3,92331724835047
"ELAC1";"ELAC1";0,295616016855523;4,0921524139453;2,55944051269116;0,0181239021874285;0,998602651674656;-4,18434757192519
"GNLY";"GNLY";-0,400648360965738;12,6744110736495;-2,55881300065743;0,0181487917014542;0,998602651674656;-4,11127175394643
"RIOK2";"RIOK2";0,330530643182915;4,11257270907483;2,55049873891007;0,0184816057333104;0,998602651674656;-4,2031600247389
"TSG101";"TSG101";0,27371946322998;7,03275085913552;2,54577574005832;0,0186732020832717;0,998602651674656;-3,84503178765003
"CDC16";"CDC16";0,191827770683532;6,80478248100157;2,54086406688922;0,0188744244271157;0,998602651674656;-3,84337982806113
"EBPL";"EBPL";0,747656067033402;4,15156841589953;2,53276406115769;0,0192107070400706;0,998602651674656;-4,25384712760723
"NCKIPSD";"NCKIPSD";-0,331280817729712;4,91230611678986;-2,53039358719367;0,0193101759158917;0,998602651674656;-3,97836252611624
"SPAG4";"SPAG4";-0,539872396510948;4,00818568493819;-2,52560577083239;0,0195125513713183;0,998602651674656;-4,2704657527544
"FES";"FES";-0,521435853633252;6,35130174404426;-2,51901622962558;0,0197943285493266;0,998602651674656;-3,86377870631134
"DIMT1";"DIMT1";0,36133533902568;5,21089607378285;2,51623086502851;0,0199145742343681;0,998602651674656;-3,95386451968896
"NIFK";"NIFK";0,292233110829895;6,06088680183369;2,51469472514059;0,0199811819405408;0,998602651674656;-3,87929622169334
"ABRAXAS2";"ABRAXAS2";0,272159381695529;4,59822534943978;2,51312855896172;0,0200493058762094;0,998602651674656;-4,0366610143023
"CUL4A";"CUL4A";0,264144235229447;6,19992817655143;2,51101951157915;0,0201413865733964;0,998602651674656;-3,87256376027063
"BICDL1";"BICDL1";-0,61853408491137;5,62516245968113;-2,50916096036314;0,0202228579671194;0,998602651674656;-3,92211202846561
"B3GNT7";"B3GNT7";-0,482099392655461;5,37945495365859;-2,5068876215564;0,020322930503652;0,998602651674656;-3,93894133748124
"STK39";"STK39";0,187861465004048;6,34456376510484;2,50548078670519;0,0203850909329826;0,998602651674656;-3,8697008011048
"PACC1";"PACC1";-0,350680234541082;3,94816108198613;-2,50180934941474;0,0205481491272762;0,998602651674656;-4,29942414631854
"PITPNM1";"PITPNM1";-0,360588110455094;6,53200956315845;-2,48784825711222;0,0211793797233191;0,998602651674656;-3,87693962727404
"COMMD8";"COMMD8";0,296321605959292;5,30275090442392;2,48178154010933;0,021459275735359;0,998602651674656;-3,95961930202809
"IDH2";"IDH2";-0,424352867586329;8,67629598544039;-2,48150088968737;0,0214723069932708;0,998602651674656;-3,95461889918159
"PNO1";"PNO1";0,308874174741161;5,42863597172991;2,48115019549574;0,0214886009152034;0,998602651674656;-3,94905482400055
"SNORD83B";"SNORD83B";-0,417423848014321;6,73938125944024;-2,48106263660681;0,0214926708659796;0,998602651674656;-3,88074731112759
"FBF1";"FBF1";-0,328601789448276;5,17222756574802;-2,48060272598251;0,0215140604350609;0,998602651674656;-3,97025208108038
"MITD1";"MITD1";0,357892976244208;6,02888622365212;2,47453825005289;0,0217979695291558;0,998602651674656;-3,90445907881573
"ZCCHC9";"ZCCHC9";0,265205783964341;4,44491595606701;2,46986843861916;0,0220189618309304;0,998602651674656;-4,1038093175587
"MIR6812";"MIR6812";1,44762442662998;3,13740014254239;2,46467514160744;0,0222671769387681;0,998602651674656;-4,47014150476254
"SLA2";"SLA2";-0,55245391190944;7,70781202366152;-2,46363080286994;0,0223174049605525;0,998602651674656;-3,91602964672975
"BCL2L1";"BCL2L1";0,232647718221612;8,12373454926362;2,46279336058639;0,0223577583613741;0,998602651674656;-3,93711246978345
"CYB561A3";"CYB561A3";-0,274650770246549;5,77284154957649;-2,46081129334769;0,0224535379647329;0,998602651674656;-3,92657800652522
"MSTO1";"MSTO1";0,218024307262652;4,75112672325497;2,45741449662796;0,0226185701180603;0,998602651674656;-4,02463066049665
"COX10";"COX10";0,279524956167795;4,29090582672018;2,45373202186878;0,0227987563329251;0,998602651674656;-4,17124657202616
"THOC7";"THOC7";0,353854519120736;6,49056034157222;2,45121398981923;0,0229227331607547;0,998602651674656;-3,90058375689778
"PSMG2";"PSMG2";0,330085894879223;7,09579309674671;2,44636742522438;0,0231631231364283;0,998602651674656;-3,90740572178334
"GZMB";"GZMB";-0,480158143592204;12,1782308478292;-2,44285560749956;0,0233387716111701;0,998602651674656;-4,13560152258356
"OCIAD1";"OCIAD1";0,213635881446147;7,03500916521327;2,44182645960496;0,0233904799475919;0,998602651674656;-3,90859018069437
"CRACR2B";"CRACR2B";-0,396599716515175;4,97552594731362;-2,43841359225153;0,0235627183515754;0,998602651674656;-4,01275624401561
"DNAAF2";"DNAAF2";-0,380711057336927;4,2459799367949;-2,43784855883767;0,0235913475330556;0,998602651674656;-4,21342247796025
"NUBP1";"NUBP1";0,283704665627174;5,95510739015657;2,43071145065875;0,0239557639449052;0,998602651674656;-3,9328280099164
"BBIP1";"BBIP1";0,313359106130874;4,2743607286795;2,41720146963708;0,0246599235333866;0,998602651674656;-4,17127978682037
"COP1";"COP1";0,252398902118094;5,38036481644991;2,40995037255595;0,025045732035738;0,998602651674656;-3,99063538703942
"SEC14L1";"SEC14L1";-0,32703663321551;6,56635848579432;-2,40656375870176;0,0252278335785157;0,998602651674656;-3,92633372742056
"MBD2";"MBD2";0,223299394808189;5,98183139304247;2,40538995123654;0,0252912361569429;0,998602651674656;-3,94859322160915
"VPS26A";"VPS26A";0,239147453611598;6,61105081308958;2,398858862137;0,0256467134694176;0,998602651674656;-3,92961894598878
"CXCR4";"CXCR4";-0,934221354416905;8,22060350113423;-2,39667481662025;0,0257666164698028;0,998602651674656;-3,97513511567542
"YWHAB";"YWHAB";0,18990072737107;8,64793501752991;2,39424682431785;0,0259005211370352;0,998602651674656;-4,00083209688118
"ISYNA1";"ISYNA1";-0,431513552038581;4,55356022352124;-2,39149896835281;0,0260528433317254;0,998602651674656;-4,11841080169516
"TBC1D2B";"TBC1D2B";-0,328890004848978;6,11288996550705;-2,38865250914289;0,0262115053305622;0,998602651674656;-3,95298497332524
"GTF2H3";"GTF2H3";0,215980463000807;5,30178073950848;2,38648333628727;0,026333015073812;0,998602651674656;-4,01160852529972
"VWA5A";"VWA5A";-0,467119662063777;3,72274235220896;-2,3769314634848;0,0268743027816623;0,998602651674656;-4,37484119404632
"S100A9";"S100A9";-2,00122554901053;1,59877562035128;-2,376183409874;0,0269171250735006;0,998602651674656;-4,55129463551232
"ADGRE5";"ADGRE5";-0,241179596648026;9,32317377417868;-2,37552749373525;0,0269547248486656;0,998602651674656;-4,04038921998301
"PDE3B";"PDE3B";-0,708372914303316;4,6238027211001;-2,37257293027646;0,0271246949891281;0,998602651674656;-4,13198254255117
"IPO13";"IPO13";-0,212489551069353;5,08353458347796;-2,36268137028364;0,0277009702638847;0,998602651674656;-4,03839550085671
"RWDD4";"RWDD4";0,284827718920232;4,28616012942469;2,34950526313198;0,0284861629605798;0,998602651674656;-4,18836111575578
"PABPC1L";"PABPC1L";-0,276155901227734;5,88442993017817;-2,34847324760524;0,0285485219390696;0,998602651674656;-3,98688175847889
"PRMT7";"PRMT7";-0,276593630752801;5,4542479403565;-2,34662579874636;0,028660467506864;0,998602651674656;-4,01904691651372
"RNF165";"RNF165";-0,809345712376871;3,84432793097572;-2,34500498267488;0,0287590134944269;0,998602651674656;-4,41229828918668
"CPOX";"CPOX";-0,317760277088873;4,89251714266617;-2,33056292542254;0,0296509829002835;0,998602651674656;-4,07467889568693
"JOSD1";"JOSD1";-0,212244665460116;7,05061294008739;-2,33027304675921;0,029669144420081;0,998602651674656;-3,97445626464389
"P2RX5";"P2RX5";-1,0034274312929;5,49513573526073;-2,32972689842113;0,0297033896135432;0,998602651674656;-4,04692718993721
"KBTBD4";"KBTBD4";-0,242310848319062;5,49675374408885;-2,32749336705744;0,0298438180100294;0,998602651674656;-4,02862934136214
"EMC4";"EMC4";0,229881090668222;7,6945149363752;2,30668310233362;0,0311818880301435;0,998602651674656;-4,00788448616481
"SGSH";"SGSH";0,589981084883496;5,54241268365495;2,30612942562525;0,0312182302360501;0,998602651674656;-4,03208447471067
"PITPNB";"PITPNB";0,25173633911247;6,53725100692705;2,30339213543926;0,031398472765698;0,998602651674656;-3,98790372106664
"ANXA7";"ANXA7";0,265164074293043;7,93207907982077;2,29696458679024;0,0318254713887865;0,998602651674656;-4,0207299906895
"WDR90";"WDR90";-0,376522725631328;5,68279324470616;-2,29520956178042;0,0319429852610811;0,998602651674656;-4,02618633454593
"HIKESHI";"HIKESHI";0,2977673485367;5,90016399124717;2,29162487674139;0,0321842488253202;0,998602651674656;-4,01734943310901
"RAB21";"RAB21";0,177275770801896;5,62799562744065;2,29115599081099;0,0322159300767209;0,998602651674656;-4,03787043949904
"FANCA";"FANCA";-0,373589077953773;6,28265561545726;-2,28100680166647;0,0329087308462365;0,998602651674656;-4,00777626442637
"MADD";"MADD";-0,341897427743462;5,97267635715396;-2,27699758770119;0,0331861500587209;0,998602651674656;-4,02476858032976
"EMG1";"EMG1";0,263152982087647;6,9339077221198;2,27521491802252;0,0333101895428264;0,998602651674656;-4,00626517184174
"PRPSAP1";"PRPSAP1";-0,207868361237539;6,02262855247232;-2,27245927633213;0,0335027650828875;0,998602651674656;-4,02660625683475
"GCLM";"GCLM";0,446609046841413;5,01007107558863;2,26947706303108;0,0337123228995041;0,998602651674656;-4,09473327509068
