"";"genes";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"TXK";"TXK";0,464567321870755;7,52486008921283;1,36897636324092;0,185237114026194;0,349839036371274;-5,30279005798406
"CIP2A";"CIP2A";-0,282758256168927;3,80938273177195;-1,36896056221069;0,185241980360285;0,349839036371274;-4,81476547073745
"SETD4";"SETD4";0,190442941447419;4,26428267816328;1,36891660389788;0,185255518987444;0,349839036371274;-4,97239153339409
"ATP6V1D";"ATP6V1D";-0,262385113436486;6,29125875725821;-1,36881875973937;0,185285656616364;0,349839036371274;-5,31313720222234
"PPP1R15A";"PPP1R15A";0,253824801478107;9,47895458631196;1,36880122182215;0,185291058997249;0,349839036371274;-5,19969797731569
"ZNF235";"ZNF235";0,482153636732635;3,39239325717766;1,36872643873928;0,185314096582611;0,349839036371274;-4,61203919624092
"PMP22";"PMP22";-1,63598327388416;4,20923103214172;-1,36751487362162;0,185687646168004;0,350459679513901;-4,87039237827395
"CCT7";"CCT7";-0,186866899180107;8,54735792333978;-1,36720830473392;0,185782261939432;0,350546009344497;-5,25222989420054
"SDC3";"SDC3";-1,40400441737069;3,68847653060503;-1,36699584577755;0,185847855140408;0,350546009344497;-4,73819048834377
"GPX8";"GPX8";-1,54037764662325;4,33761709055745;-1,36681627465937;0,185903309064711;0,350546009344497;-4,96349839789001
"RAB13";"RAB13";-1,39188620951868;5,83472439878235;-1,3667862575032;0,18591258003574;0,350546009344497;-5,28893664382054
"CNDP2";"CNDP2";-0,221381252607945;6,40666024874726;-1,3663878237287;0,186035673282793;0,350693602369996;-5,32222430652224
"OSBP";"OSBP";-0,133620623858887;5,53426309423478;-1,36618643204765;0,186097916343392;0,350726443975684;-5,2654921923671
"OAZ2";"OAZ2";-0,287650507832923;6,46132202803133;-1,36553483763533;0,186299414167147;0,351021650820593;-5,3235377468193
"MED6";"MED6";0,118156011187791;5,5360855567481;1,36440761354826;0,186648402622004;0,351594547548672;-5,26463423219066
"RGS13";"RGS13";-1,13316461244399;1,67337429353955;-1,36380751777978;0,186834403142423;0,351860217711061;-4,49320562852039
"ANKRD52";"ANKRD52";-0,151770655690964;5,95830678007562;-1,36302987204174;0,187075653675674;0,352172388848425;-5,305391671845
"NAXD";"NAXD";-0,125323376698174;5,67861603397067;-1,36296976527879;0,18709431096875;0,352172388848425;-5,28177760229759
"SRP68";"SRP68";-0,123925692157654;6,62883180455299;-1,36283811339865;0,187135181192556;0,352172388848425;-5,32892044978571
"PSMC6";"PSMC6";-0,137190755462783;7,05226668609148;-1,36255633844589;0,187222679602873;0,352252336593528;-5,3235945669703
"GDPD5";"GDPD5";0,251538086987686;3,8138319793587;1,36119640325627;0,187645429737304;0,352779812101302;-4,78451089712019
"UNC5B";"UNC5B";-1,10668924010535;3,12064595228606;-1,36103625167436;0,187695264181519;0,352779812101302;-4,64354456275091
"SGTA";"SGTA";-0,181504238349564;6,88728287238989;-1,36101923496072;0,187700559895431;0,352779812101302;-5,32860895361158
"MRPL53";"MRPL53";0,191087731468063;7,01023920066057;1,36075196376722;0,187783751961166;0,352779812101302;-5,32697396183382
"DHX36";"DHX36";-0,205499298147509;5,83887862109667;-1,36070851619966;0,187797278406041;0,352779812101302;-5,29699866829184
"TNFSF14";"TNFSF14";0,496720926864833;6,36773712733036;1,36059119996309;0,187833806085266;0,352779812101302;-5,31397160473465
"ADAMTSL4";"ADAMTSL4";-0,985223661881572;2,53011570839196;-1,36051178353115;0,187858536438576;0,352779812101302;-4,54956556012642
"TMEM214";"TMEM214";-0,138042400521525;7,00464626390568;-1,36036556765007;0,187904074937317;0,352779812101302;-5,32770941583757
"WARS1";"WARS1";-0,920980937997912;10,8076707932207;-1,36032352101693;0,187917171850955;0,352779812101302;-5,13158788221338
"OAZ1";"OAZ1";-0,303780361251038;10,629870107012;-1,36020571517349;0,187953870498444;0,352779812101302;-5,15208983801553
"COL8A2";"COL8A2";-0,951323181396289;2,37004017194211;-1,35979445092013;0,188082031156029;0,352824779387396;-4,52795222296182
"PARG";"PARG";-0,134293674234979;4,17279280169505;-1,35964336027369;0,188129132285418;0,352824779387396;-5,01595323367706
"LMNA";"LMNA";-1,17556528948619;7,86597736829553;-1,35959231159022;0,188145048353399;0,352824779387396;-5,28904580644298
"MIR100HG";"MIR100HG";-1,52787069758871;4,3719056992092;-1,35947216889836;0,188182510899453;0,352824779387396;-4,98996527531652
"RRP12";"RRP12";-0,230596447428584;4,88404652708575;-1,3594027191363;0,188204169211994;0,352824779387396;-5,21373185979044
"ZNF326";"ZNF326";-0,131494318303871;4,66918813534643;-1,35926102096805;0,188248364721071;0,352824779387396;-5,18867898599857
"R3HCC1L";"R3HCC1L";0,228590841060896;4,81363303162142;1,35907784900382;0,18830550801779;0,35283639962398;-5,19502530687265
"SMIM7";"SMIM7";-0,153565479667546;6,19929407791917;-1,35895209614101;0,188344746482986;0,35283639962398;-5,32098110464183
"MRPS22";"MRPS22";-0,127788239827018;6,25416333775529;-1,35832797444499;0,188539585803472;0,353070160279166;-5,3265276693357
"PLA2G4A";"PLA2G4A";-1,38541456702825;3,89307029202883;-1,35812048917918;0,188604394151294;0,353070160279166;-4,84564464071827
"MMP2";"MMP2";-1,76992422624187;7,2978371082481;-1,35789064273622;0,188676207595181;0,353070160279166;-5,30099750280904
"DKK1";"DKK1";-1,68142042626695;5,64686470669766;-1,35787029235987;0,188682566927251;0,353070160279166;-5,2892056075559
"ZNF358";"ZNF358";-0,326799373703444;5,43967125457349;-1,35783008372876;0,188695132305108;0,353070160279166;-5,26482870529975
"TRAPPC10";"TRAPPC10";0,413859485107577;6,47815051466946;1,35738540210634;0,188834141398259;0,35324579403332;-5,32819375190014
"SYTL2";"SYTL2";0,379092536185958;4,6189488007587;1,35723282402222;0,188881856498443;0,353250603991472;-5,10591613229558
"TGFBR3";"TGFBR3";0,429013932089368;7,14821811994886;1,35702361509728;0,18894729700379;0,353288554134924;-5,32663834484256
"BOK";"BOK";-0,679000195150639;4,15837094776054;-1,35687532572906;0,188993692729833;0,353290885239116;-5,02030983783282
