"";"pathway";"eg";"symbol";"ensembl"
"94";"path:hsa04650";"5578";"PRKCA";"ENSG00000154229"
"95";"path:hsa04650";"5579";"PRKCB";"ENSG00000166501"
"96";"path:hsa04650";"5582";"PRKCG";"ENSG00000126583"
"97";"path:hsa04650";"5594";"MAPK1";"ENSG00000100030"
"98";"path:hsa04650";"5595";"MAPK3";"ENSG00000102882"
"99";"path:hsa04650";"5604";"MAP2K1";"ENSG00000169032"
"100";"path:hsa04650";"5605";"MAP2K2";"ENSG00000126934"
"101";"path:hsa04650";"57292";"KIR2DL5A";"ENSG00000276392"
"102";"path:hsa04650";"5777";"PTPN6";"ENSG00000111679"
"103";"path:hsa04650";"5781";"PTPN11";"ENSG00000179295"
"104";"path:hsa04650";"5879";"RAC1";"ENSG00000136238"
"105";"path:hsa04650";"5880";"RAC2";"ENSG00000128340"
"106";"path:hsa04650";"5881";"RAC3";"ENSG00000169750"
"107";"path:hsa04650";"5894";"RAF1";"ENSG00000132155"
"108";"path:hsa04650";"637";"BID";"ENSG00000015475"
"109";"path:hsa04650";"6452";"SH3BP2";"ENSG00000087266"
"110";"path:hsa04650";"6464";"SHC1";"ENSG00000160691"
"111";"path:hsa04650";"6654";"SOS1";"ENSG00000115904"
"112";"path:hsa04650";"6655";"SOS2";"ENSG00000100485"
"113";"path:hsa04650";"673";"BRAF";"ENSG00000157764"
"114";"path:hsa04650";"6850";"SYK";"ENSG00000165025"
"115";"path:hsa04650";"7124";"TNF";"ENSG00000232810"
"116";"path:hsa04650";"7305";"TYROBP";"ENSG00000011600"
"117";"path:hsa04650";"7409";"VAV1";"ENSG00000141968"
"118";"path:hsa04650";"7410";"VAV2";"ENSG00000160293"
"119";"path:hsa04650";"7462";"LAT2";"ENSG00000086730"
"120";"path:hsa04650";"7535";"ZAP70";"ENSG00000115085"
"121";"path:hsa04650";"79465";"ULBP3";"ENSG00000131019"
"122";"path:hsa04650";"80328";"ULBP2";"ENSG00000131015"
